file_path,file_name,file_size,text_length,genetic_count,presidio_count,phi_types_genetic,phi_types_presidio
/Users/momin.naqvi/Downloads/Medical/Ethical Culture Fieldstone School/None0003409409.txt,None0003409409.txt,1570,1565,33,0,NAME,
/Users/momin.naqvi/Downloads/Medical/Aegion Corporation/AegionCorp_0003838806.pdf,AegionCorp_0003838806.pdf,462049,1244,19,0,"NAME, PHONE",
/Users/momin.naqvi/Downloads/Medical/Aegion Corporation/AegionCorp_0004227759.pdf,AegionCorp_0004227759.pdf,236124,2429,21,0,"NAME, PHONE",
/Users/momin.naqvi/Downloads/Medical/Aegion Corporation/AegionCorp_0004057992.pdf,AegionCorp_0004057992.pdf,60909,3740,39,0,"NAME, PHONE",
/Users/momin.naqvi/Downloads/Medical/Aegion Corporation/AegionCorp_0003466660.pdf,AegionCorp_0003466660.pdf,147214,4322,37,0,"NAME, SSN",
/Users/momin.naqvi/Downloads/Medical/Aegion Corporation/AegionCorp_0003836895.pdf,AegionCorp_0003836895.pdf,209864,2268,56,0,NAME,
/Users/momin.naqvi/Downloads/Medical/Aegion Corporation/AegionCorp_0001365440.msg,AegionCorp_0001365440.msg,985600,676363,510,0,"NAME, SSN, EMAIL",
/Users/momin.naqvi/Downloads/Medical/Aegion Corporation/AegionCorp_0005203147.msg,AegionCorp_0005203147.msg,198144,162956,149,0,"NAME, SSN, EMAIL",
/Users/momin.naqvi/Downloads/Medical/Aegion Corporation/AegionCorp_0006197133.pdf,AegionCorp_0006197133.pdf,37329,6131,72,0,"NAME, SSN",
/Users/momin.naqvi/Downloads/Medical/Aegion Corporation/AegionCorp_0000629085.pdf,AegionCorp_0000629085.pdf,39230,1538,25,0,NAME,
/Users/momin.naqvi/Downloads/Medical/Columbia River Mental Health Services/CRMHS_0001034557.docx,CRMHS_0001034557.docx,54539,86,0,0,,
/Users/momin.naqvi/Downloads/Medical/Columbia River Mental Health Services/CRMHS_0000383671.pdf,CRMHS_0000383671.pdf,948143,6808,18,0,NAME,
/Users/momin.naqvi/Downloads/Medical/Columbia River Mental Health Services/CRMHS_0000414984.doc,CRMHS_0000414984.doc,199680,85,0,0,,
/Users/momin.naqvi/Downloads/Medical/Columbia River Mental Health Services/CRMHS_0000298639.doc,CRMHS_0000298639.doc,222720,85,0,0,,
"/Users/momin.naqvi/Downloads/Medical/Sightpath, LLC/SightPath-TD.00000001.00000001.00127212.pdf",SightPath-TD.00000001.00000001.00127212.pdf,1659624,107,0,0,,
"/Users/momin.naqvi/Downloads/Medical/Sightpath, LLC/SightPath-TD.00000001.00000001.00254224.pdf",SightPath-TD.00000001.00000001.00254224.pdf,256547,2086,26,0,"NAME, PHONE",
"/Users/momin.naqvi/Downloads/Medical/Sightpath, LLC/SightPath-TD.00000001.00000001.00127212.txt",SightPath-TD.00000001.00000001.00127212.txt,22233,22105,141,0,"NAME, PHONE",
